"Latest: Time (s)","Latest: CO2 (ppm)"
0,344
4,344
8,344
12,343
16,342
20,344
24,344
28,349
32,353
36,355
40,363
44,362
48,356
52,352
56,352
60,352
64,348
68,346
72,344
76,344
80,344
84,344
88,344
92,342
96,342
100,342
104,342
108,344
112,344
116,339
120,339
124,360
128,360
132,348
136,348
140,344
144,336
148,331
152,334
156,332
160,332
164,329
168,329
172,329
176,327
180,326
184,324
188,325
192,323
196,324
200,323
204,322
208,321
212,317
216,315
220,316
224,312
228,310
232,308
236,305
240,309
244,303
248,303
252,303
256,303
260,302
264,302
268,299
272,299
276,302
280,299
284,299
288,299
292,296
296,295
300,288
304,286
308,289
312,290
316,290
320,288
324,290
